Traveller type,Reference period,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water",Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
Travellers,2000-01,"2,379,373","216,987","2,161,951",435,"2,887,227","474,372","2,412,575",280
Travellers,2000-02,"2,570,572","256,763","2,313,543",266,"2,881,466","520,099","2,361,193",174
Travellers,2000-03,"2,875,532","283,069","2,591,944",519,"3,746,488","627,470","3,118,661",357
Travellers,2000-04,"3,133,835","296,828","2,833,878","3,129","3,728,598","534,561","3,192,747","1,290"
Travellers,2000-05,"3,783,889","367,772","3,328,645","87,472","3,675,480","468,788","3,186,213","20,479"
Travellers,2000-06,"4,581,795","506,955","3,923,491","151,349","3,493,792","360,613","3,115,623","17,556"
Travellers,2000-07,"5,958,326","562,342","5,187,552","208,432","4,585,136","358,700","4,192,906","33,530"
Travellers,2000-08,"5,686,690","540,469","4,938,385","207,836","4,656,423","413,397","4,212,598","30,428"
Travellers,2000-09,"4,170,346","425,297","3,602,524","142,525","3,627,530","382,779","3,224,056","20,695"
Travellers,2000-10,"3,323,853","337,142","2,968,523","18,188","3,511,744","452,766","3,055,395","3,583"
Travellers,2000-11,"2,765,115","274,786","2,489,162","1,167","3,043,828","474,827","2,568,365",636
Travellers,2000-12,"2,764,489","299,480","2,464,534",475,"2,828,736","406,945","2,421,651",140
Travellers,2001-01,"2,516,617","238,824","2,277,514",279,"2,990,873","510,152","2,480,518",203
Travellers,2001-02,"2,600,181","252,103","2,347,786",292,"2,677,729","489,748","2,187,799",182
Travellers,2001-03,"3,013,013","287,754","2,724,592",667,"3,499,927","605,088","2,894,421",418
Travellers,2001-04,"3,165,570","305,828","2,852,033","7,709","3,484,457","506,019","2,977,423","1,015"
Travellers,2001-05,"3,897,711","379,704","3,426,288","91,719","3,506,538","438,167","3,045,235","23,136"
Travellers,2001-06,"4,887,631","522,696","4,199,051","165,884","3,391,774","337,555","3,034,393","19,826"
Travellers,2001-07,"6,169,566","563,457","5,395,765","210,344","4,422,851","349,565","4,040,968","32,318"
Travellers,2001-08,"6,109,626","571,520","5,333,358","204,748","4,573,280","378,797","4,162,459","32,024"
Travellers,2001-09,"3,166,956","304,777","2,717,940","144,239","2,697,528","217,735","2,451,389","28,404"
Travellers,2001-10,"2,429,712","293,531","2,095,611","40,570","2,423,077","312,167","2,103,568","7,342"
Travellers,2001-11,"2,356,560","226,935","2,128,262","1,363","2,325,380","315,468","2,009,385",527
