Reference period,Canadian residents returning from the United States of America,
2000-01-01,"2,887,227",
2000-02-01,"2,881,466",
2000-03-01,"3,746,488",
2000-04-01,"3,728,598",
2000-05-01,"3,675,480",
2000-06-01,"3,493,792",
2000-07-01,"4,585,136",
2000-08-01,"4,656,423",
2000-09-01,"3,627,530",
2000-10-01,"3,511,744",
2000-11-01,"3,043,828",
2000-12-01,"2,828,736",
2001-01-01,"2,990,873",
2001-02-01,"2,677,729",
2001-03-01,"3,499,927",
2001-04-01,"3,484,457",
2001-05-01,"3,506,538",
2001-06-01,"3,391,774",
2001-07-01,"4,422,851",
2001-08-01,"4,573,280",
2001-09-01,"2,697,528",
2001-10-01,"2,423,077",
2001-11-01,"2,325,380",
2001-12-01,"2,375,029",
2002-01-01,"2,424,297",
2002-02-01,"2,198,723",
2002-03-01,"2,992,908",
2002-04-01,"2,819,490",
2002-05-01,"2,962,608",
2002-06-01,"2,891,893",
2002-07-01,"3,628,728",
2002-08-01,"3,894,307",
2002-09-01,"2,941,547",
2002-10-01,"2,820,650",
2002-11-01,"2,453,419",
2002-12-01,"2,530,352",
2003-01-01,"2,488,296",
2003-02-01,"2,213,906",
2003-03-01,"2,779,786",
2003-04-01,"2,514,029",
2003-05-01,"2,821,155",
2003-06-01,"2,892,068",
2003-07-01,"3,586,927",
2003-08-01,"3,916,785",
2003-09-01,"2,860,236",
2003-10-01,"2,862,625",
2003-11-01,"2,681,582",
2003-12-01,"2,533,838",
2004-01-01,"2,421,217",
2004-02-01,"2,476,418",
2004-03-01,"3,143,821",
2004-04-01,"3,054,537",
2004-05-01,"3,147,779",
2004-06-01,"2,861,076",
2004-07-01,"3,662,970",
2004-08-01,"3,834,954",
2004-09-01,"2,956,118",
2004-10-01,"3,008,283",
2004-11-01,"2,776,338",
2004-12-01,"2,703,786",
2005-01-01,"2,548,897",
2005-02-01,"2,493,474",
2005-03-01,"3,375,419",
2005-04-01,"3,081,063",
2005-05-01,"3,237,201",
2005-06-01,"2,968,579",
2005-07-01,"3,975,164",
2005-08-01,"4,167,434",
2005-09-01,"3,153,288",
2005-10-01,"3,104,577",
2005-11-01,"2,876,949",
2005-12-01,"2,811,949",
2006-01-01,"2,857,631",
2006-02-01,"2,520,894",
2006-03-01,"3,483,208",
2006-04-01,"3,479,399",
2006-05-01,"3,451,196",
2006-06-01,"3,122,577",
2006-07-01,"4,192,098",
2006-08-01,"4,367,805",
2006-09-01,"3,327,268",
2006-10-01,"3,207,459",
2006-11-01,"3,097,504",
2006-12-01,"3,066,322",
2007-01-01,"2,877,375",
2007-02-01,"2,461,382",
2007-03-01,"3,502,511",
2007-04-01,"3,408,943",
2007-05-01,"3,461,038",
2007-06-01,"3,256,545",
2007-07-01,"4,313,720",
2007-08-01,"4,693,036",
2007-09-01,"3,711,791",
2007-10-01,"3,804,551",
2007-11-01,"3,811,668",
2007-12-01,"3,338,189",
2008-01-01,"3,172,026",
2008-02-01,"2,919,308",
2008-03-01,"4,089,421",
2008-04-01,"3,649,227",
2008-05-01,"3,906,890",
2008-06-01,"3,563,701",
2008-07-01,"4,455,823",
2008-08-01,"5,209,318",
2008-09-01,"3,509,115",
2008-10-01,"3,336,692",
2008-11-01,"3,079,764",
2008-12-01,"2,721,960",
2009-01-01,"2,593,090",
2009-02-01,"2,532,238",
2009-03-01,"3,397,799",
2009-04-01,"3,247,186",
2009-05-01,"3,422,532",
2009-06-01,"2,798,224",
2009-07-01,"3,730,690",
2009-08-01,"4,589,836",
2009-09-01,"3,358,341",
2009-10-01,"3,255,637",
2009-11-01,"3,239,376",
2009-12-01,"3,089,199",
2010-01-01,"3,092,336",
2010-02-01,"2,805,243",
2010-03-01,"3,987,507",
2010-04-01,"3,967,980",
2010-05-01,"4,080,181",
2010-06-01,"3,523,454",
2010-07-01,"4,745,877",
2010-08-01,"5,313,264",
2010-09-01,"3,902,461",
2010-10-01,"3,937,499",
2010-11-01,"3,811,008",
2010-12-01,"3,755,179",
2011-01-01,"3,503,674",
2011-02-01,"3,238,595",
2011-03-01,"4,446,929",
2011-04-01,"4,583,046",
2011-05-01,"4,632,761",
