"International travellers entering or returning to Canada, by type of transportation and traveller type 1",,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,
Table: 24-10-0053-01,,,,,,,,,,,,,,
Release date: 2025-03-21,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,
Traveller type,Reference period,International travellers entering or returning to Canada,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water","Residents of countries other than the United States of America, air","Residents of countries other than the United States of America, land","Residents of countries other than the United States of America, water",Canadian-resident visitors returning to Canada,Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
Travellers,Jan-00,"6,615,814","2,379,373","216,987","2,161,951",435,"154,181","30,704",107,"3,349,405","2,887,227","474,372","2,412,575",280
,Feb-00,"6,818,615","2,570,572","256,763","2,313,543",266,"179,131","26,441",132,"3,321,291","2,881,466","520,099","2,361,193",174
,Mar-00,"8,176,940","2,875,532","283,069","2,591,944",519,"192,660","32,276",185,"4,258,293","3,746,488","627,470","3,118,661",357
,Apr-00,"8,322,096","3,133,835","296,828","2,833,878","3,129","255,150","51,647",985,"4,146,486","3,728,598","534,561","3,192,747","1,290"
,May-00,"9,047,590","3,783,889","367,772","3,328,645","87,472","332,213","65,982","13,283","4,013,466","3,675,480","468,788","3,186,213","20,479"
,Jun-00,"9,806,955","4,581,795","506,955","3,923,491","151,349","458,220","90,819","15,552","3,784,132","3,493,792","360,613","3,115,623","17,556"
,Jul-00,"12,388,530","5,958,326","562,342","5,187,552","208,432","574,950","119,733","15,524","4,928,918","4,585,136","358,700","4,192,906","33,530"
,Aug-00,"12,300,547","5,686,690","540,469","4,938,385","207,836","486,980","116,020","15,163","5,089,738","4,656,423","413,397","4,212,598","30,428"
,Sep-00,"9,561,082","4,170,346","425,297","3,602,524","142,525","460,666","100,437","17,670","3,962,124","3,627,530","382,779","3,224,056","20,695"
,Oct-00,"8,306,325","3,323,853","337,142","2,968,523","18,188","287,817","68,930","1,832","3,830,209","3,511,744","452,766","3,055,395","3,583"
,Nov-00,"7,051,580","2,765,115","274,786","2,489,162","1,167","170,621","33,934",221,"3,334,321","3,043,828","474,827","2,568,365",636
,Dec-00,"6,849,601","2,764,489","299,480","2,464,534",475,"246,503","26,918",105,"3,163,610","2,828,736","406,945","2,421,651",140
,01-Jan,"6,996,907","2,516,617","238,824","2,277,514",279,"173,777","20,858",137,"3,563,382","2,990,873","510,152","2,480,518",203
,01-Feb,"6,642,578","2,600,181","252,103","2,347,786",292,"181,604","19,611",88,"3,163,242","2,677,729","489,748","2,187,799",182
,01-Mar,"8,145,291","3,013,013","287,754","2,724,592",667,"211,415","26,343","1,779","4,104,818","3,499,927","605,088","2,894,421",418
,01-Apr,"8,127,578","3,165,570","305,828","2,852,033","7,709","247,671","40,632","1,573","3,931,909","3,484,457","506,019","2,977,423","1,015"
,01-May,"9,017,943","3,897,711","379,704","3,426,288","91,719","319,368","63,922","12,936","3,873,960","3,506,538","438,167","3,045,235","23,136"
,01-Jun,"9,984,680","4,887,631","522,696","4,199,051","165,884","451,605","75,267","15,680","3,709,035","3,391,774","337,555","3,034,393","19,826"
,01-Jul,"12,452,927","6,169,566","563,457","5,395,765","210,344","564,682","104,464","15,588","4,802,473","4,422,851","349,565","4,040,968","32,318"
,01-Aug,"12,651,193","6,109,626","571,520","5,333,358","204,748","489,473","114,514","17,819","5,043,898","4,573,280","378,797","4,162,459","32,024"
,01-Sep,"7,415,292","3,166,956","304,777","2,717,940","144,239","364,010","61,936","21,351","3,038,518","2,697,528","217,735","2,451,389","28,404"
,01-Oct,"6,175,918","2,429,712","293,531","2,095,611","40,570","219,169","40,055","3,641","2,713,993","2,423,077","312,167","2,103,568","7,342"
,01-Nov,"5,785,028","2,356,560","226,935","2,128,262","1,363","128,932","24,645",308,"2,578,210","2,325,380","315,468","2,009,385",527
,01-Dec,"6,082,855","2,558,143","281,044","2,276,560",539,"213,861","26,505",142,"2,677,121","2,375,029","289,775","2,085,134",120
,02-Jan,"5,944,025","2,179,481","220,961","1,958,254",266,"148,746","18,249",112,"2,917,472","2,424,297","381,235","2,042,884",178
,02-Feb,"5,803,502","2,333,369","234,993","2,098,082",294,"169,723","19,217",100,"2,618,297","2,198,723","382,229","1,816,331",163
,02-Mar,"7,267,229","2,767,179","275,822","2,490,643",714,"197,308","28,350",181,"3,537,393","2,992,908","467,871","2,524,603",434
,02-Apr,"6,973,710","2,741,161","273,164","2,462,566","5,431","200,978","28,333",644,"3,246,493","2,819,490","415,289","2,402,907","1,294"
,02-May,"8,019,659","3,509,306","357,729","3,069,463","82,114","289,034","41,720","12,577","3,317,660","2,962,608","365,860","2,578,156","18,592"
,02-Jun,"8,808,128","4,334,956","497,394","3,672,950","164,612","384,308","50,553","14,760","3,205,383","2,891,893","280,181","2,586,955","24,757"
,02-Jul,"10,938,175","5,509,506","565,916","4,725,383","218,207","533,350","98,429","13,341","3,984,299","3,628,728","283,199","3,313,176","32,353"
,02-Aug,"11,473,901","5,704,608","558,425","4,928,525","217,658","443,448","93,595","14,451","4,358,816","3,894,307","328,654","3,532,319","33,334"
,02-Sep,"8,089,783","3,524,827","371,965","2,998,590","154,272","379,553","60,923","22,087","3,286,059","2,941,547","287,344","2,625,939","28,264"
,02-Oct,"7,268,858","3,015,903","318,532","2,656,689","40,682","263,228","43,054","3,232","3,136,881","2,820,650","350,369","2,461,248","9,033"
