Reference period,United States of America residents entering Canada
2000-01-01,"2,379,373"
2000-02-01,"2,570,572"
2000-03-01,"2,875,532"
2000-04-01,"3,133,835"
2000-05-01,"3,783,889"
2000-06-01,"4,581,795"
2000-07-01,"5,958,326"
2000-08-01,"5,686,690"
2000-09-01,"4,170,346"
2000-10-01,"3,323,853"
2000-11-01,"2,765,115"
2000-12-01,"2,764,489"
2001-01-01,"2,516,617"
2001-02-01,"2,600,181"
2001-03-01,"3,013,013"
2001-04-01,"3,165,570"
2001-05-01,"3,897,711"
2001-06-01,"4,887,631"
2001-07-01,"6,169,566"
2001-08-01,"6,109,626"
2001-09-01,"3,166,956"
2001-10-01,"2,429,712"
2001-11-01,"2,356,560"
2001-12-01,"2,558,143"
2002-01-01,"2,179,481"
2002-02-01,"2,333,369"
2002-03-01,"2,767,179"
2002-04-01,"2,741,161"
2002-05-01,"3,509,306"
2002-06-01,"4,334,956"
2002-07-01,"5,509,506"
2002-08-01,"5,704,608"
2002-09-01,"3,524,827"
2002-10-01,"3,015,903"
2002-11-01,"2,575,727"
2002-12-01,"2,682,149"
2003-01-01,"2,204,612"
2003-02-01,"2,142,778"
2003-03-01,"2,278,772"
2003-04-01,"2,205,365"
2003-05-01,"2,854,323"
2003-06-01,"3,631,620"
2003-07-01,"4,818,358"
2003-08-01,"4,989,353"
2003-09-01,"3,061,504"
2003-10-01,"2,727,207"
2003-11-01,"2,271,117"
2003-12-01,"2,324,435"
2004-01-01,"1,833,581"
2004-02-01,"2,044,641"
2004-03-01,"2,177,005"
2004-04-01,"2,303,407"
2004-05-01,"2,905,588"
2004-06-01,"3,716,020"
2004-07-01,"4,976,549"
2004-08-01,"4,607,033"
2004-09-01,"3,221,470"
2004-10-01,"2,605,066"
2004-11-01,"2,076,665"
2004-12-01,"2,159,089"
2005-01-01,"1,711,345"
2005-02-01,"1,854,779"
2005-03-01,"2,053,896"
2005-04-01,"2,107,294"
2005-05-01,"2,677,936"
2005-06-01,"3,484,998"
2005-07-01,"4,653,491"
2005-08-01,"4,119,742"
2005-09-01,"2,892,131"
2005-10-01,"2,266,885"
2005-11-01,"1,826,658"
2005-12-01,"2,005,857"
2006-01-01,"1,629,252"
2006-02-01,"1,619,633"
2006-03-01,"1,841,478"
2006-04-01,"2,018,963"
2006-05-01,"2,451,881"
2006-06-01,"3,227,016"
2006-07-01,"4,137,848"
2006-08-01,"3,768,710"
2006-09-01,"2,648,309"
2006-10-01,"1,991,814"
2006-11-01,"1,657,936"
2006-12-01,"1,879,834"
2007-01-01,"1,353,963"
2007-02-01,"1,322,059"
2007-03-01,"1,564,138"
2007-04-01,"1,655,312"
2007-05-01,"2,235,259"
2007-06-01,"3,034,207"
2007-07-01,"3,675,726"
2007-08-01,"3,611,684"
2007-09-01,"2,438,850"
2007-10-01,"1,840,328"
2007-11-01,"1,437,897"
2007-12-01,"1,525,134"
2008-01-01,"1,162,479"
2008-02-01,"1,174,734"
2008-03-01,"1,333,329"
2008-04-01,"1,398,283"
2008-05-01,"2,004,245"
2008-06-01,"2,554,865"
2008-07-01,"3,263,123"
2008-08-01,"3,314,296"
2008-09-01,"1,988,107"
2008-10-01,"1,669,993"
2008-11-01,"1,335,212"
2008-12-01,"1,406,979"
2009-01-01,"1,090,995"
2009-02-01,"1,120,662"
2009-03-01,"1,254,647"
2009-04-01,"1,436,777"
2009-05-01,"1,973,221"
2009-06-01,"2,147,353"
2009-07-01,"2,895,195"
2009-08-01,"2,782,090"
2009-09-01,"1,947,875"
2009-10-01,"1,461,206"
2009-11-01,"1,128,469"
2009-12-01,"1,287,118"
2010-01-01,"1,045,322"
