Reference period,"United States of America residents, land"
2000-01-01,"2,161,951"
2000-02-01,"2,313,543"
2000-03-01,"2,591,944"
2000-04-01,"2,833,878"
2000-05-01,"3,328,645"
2000-06-01,"3,923,491"
2000-07-01,"5,187,552"
2000-08-01,"4,938,385"
2000-09-01,"3,602,524"
2000-10-01,"2,968,523"
2000-11-01,"2,489,162"
2000-12-01,"2,464,534"
2001-01-01,"2,277,514"
2001-02-01,"2,347,786"
2001-03-01,"2,724,592"
2001-04-01,"2,852,033"
2001-05-01,"3,426,288"
2001-06-01,"4,199,051"
2001-07-01,"5,395,765"
2001-08-01,"5,333,358"
2001-09-01,"2,717,940"
2001-10-01,"2,095,611"
2001-11-01,"2,128,262"
2001-12-01,"2,276,560"
2002-01-01,"1,958,254"
2002-02-01,"2,098,082"
2002-03-01,"2,490,643"
2002-04-01,"2,462,566"
2002-05-01,"3,069,463"
2002-06-01,"3,672,950"
2002-07-01,"4,725,383"
2002-08-01,"4,928,525"
2002-09-01,"2,998,590"
2002-10-01,"2,656,689"
2002-11-01,"2,327,131"
2002-12-01,"2,379,733"
2003-01-01,"1,983,565"
2003-02-01,"1,912,586"
2003-03-01,"2,024,467"
2003-04-01,"1,979,009"
2003-05-01,"2,498,208"
2003-06-01,"3,028,525"
2003-07-01,"4,068,393"
2003-08-01,"4,245,195"
2003-09-01,"2,551,401"
2003-10-01,"2,375,998"
2003-11-01,"2,028,887"
2003-12-01,"2,026,457"
2004-01-01,"1,632,375"
2004-02-01,"1,819,228"
2004-03-01,"1,901,088"
2004-04-01,"2,006,790"
2004-05-01,"2,474,855"
2004-06-01,"3,038,411"
2004-07-01,"4,140,605"
2004-08-01,"3,793,868"
2004-09-01,"2,641,106"
2004-10-01,"2,231,403"
2004-11-01,"1,807,478"
2004-12-01,"1,850,328"
2005-01-01,"1,482,636"
2005-02-01,"1,600,673"
2005-03-01,"1,777,678"
2005-04-01,"1,829,866"
2005-05-01,"2,244,041"
2005-06-01,"2,787,790"
2005-07-01,"3,807,566"
2005-08-01,"3,381,766"
2005-09-01,"2,292,898"
2005-10-01,"1,904,830"
2005-11-01,"1,562,509"
2005-12-01,"1,707,352"
2006-01-01,"1,417,424"
2006-02-01,"1,396,378"
2006-03-01,"1,576,848"
2006-04-01,"1,733,539"
2006-05-01,"1,989,709"
2006-06-01,"2,534,485"
2006-07-01,"3,355,008"
2006-08-01,"3,041,700"
2006-09-01,"2,084,142"
2006-10-01,"1,626,273"
2006-11-01,"1,403,946"
2006-12-01,"1,582,111"
2007-01-01,"1,143,393"
2007-02-01,"1,103,124"
2007-03-01,"1,310,321"
2007-04-01,"1,396,244"
2007-05-01,"1,776,576"
2007-06-01,"2,345,162"
2007-07-01,"2,928,889"
2007-08-01,"2,885,486"
2007-09-01,"1,870,048"
2007-10-01,"1,463,961"
2007-11-01,"1,195,118"
2007-12-01,"1,246,421"
2008-01-01,"963,554"
2008-02-01,"963,644"
2008-03-01,"1,088,973"
2008-04-01,"1,129,019"
2008-05-01,"1,562,854"
2008-06-01,"1,940,121"
2008-07-01,"2,541,659"
2008-08-01,"2,622,375"
2008-09-01,"1,450,397"
2008-10-01,"1,330,033"
2008-11-01,"1,110,037"
2008-12-01,"1,125,668"
2009-01-01,"907,468"
2009-02-01,"929,894"
2009-03-01,"1,044,694"
2009-04-01,"1,204,628"
2009-05-01,"1,568,327"
2009-06-01,"1,555,581"
2009-07-01,"2,199,093"
2009-08-01,"2,143,024"
2009-09-01,"1,423,211"
2009-10-01,"1,146,031"
2009-11-01,"915,422"
2009-12-01,"1,021,851"
2010-01-01,"866,690"
2010-02-01,"949,854"
2010-03-01,"987,730"
2010-04-01,"1,119,099"
2010-05-01,"1,407,412"
2010-06-01,"1,753,382"
2010-07-01,"2,459,632"
2010-08-01,"2,230,572"
2010-09-01,"1,515,999"
2010-10-01,"1,246,160"
2010-11-01,"972,909"
2010-12-01,"1,074,279"
2011-01-01,"803,987"
2011-02-01,"810,154"
2011-03-01,"903,770"
2011-04-01,"1,079,854"
2011-05-01,"1,318,601"
2011-06-01,"1,726,438"
2011-07-01,"2,383,512"
2011-08-01,"2,116,270"
2011-09-01,"1,476,419"
2011-10-01,"1,192,222"
2011-11-01,"968,814"
2011-12-01,"1,134,517"
2012-01-01,"815,191"
2012-02-01,"879,068"
2012-03-01,"962,689"
2012-04-01,"1,094,894"
2012-05-01,"1,366,019"
2012-06-01,"1,803,849"
2012-07-01,"2,243,506"
2012-08-01,"2,236,339"
2012-09-01,"1,421,451"
2012-10-01,"1,119,636"
2012-11-01,"951,009"
2012-12-01,"1,079,429"
2013-01-01,"804,093"
2013-02-01,"799,720"
2013-03-01,"993,400"
2013-04-01,"961,648"
2013-05-01,"1,325,070"
2013-06-01,"1,732,431"
2013-07-01,"2,182,614"
2013-08-01,"2,267,487"
2013-09-01,"1,329,490"
2013-10-01,"1,146,773"
2013-11-01,"944,143"
2013-12-01,"1,021,564"
2014-01-01,"751,461"
2014-02-01,"758,998"
2014-03-01,"860,447"
2014-04-01,"1,008,496"
2014-05-01,"1,314,752"
2014-06-01,"1,684,279"
2014-07-01,"2,149,652"
2014-08-01,"2,260,002"
2014-09-01,"1,288,477"
2014-10-01,"1,164,490"
2014-11-01,"888,486"
2014-12-01,"1,061,954"
2015-01-01,"803,338"
2015-02-01,"782,435"
2015-03-01,"911,841"
2015-04-01,"1,055,213"
2015-05-01,"1,425,436"
2015-06-01,"1,896,320"
2015-07-01,"2,415,230"
2015-08-01,"2,261,423"
2015-09-01,"1,545,325"
2015-10-01,"1,255,873"
2015-11-01,"999,179"
2015-12-01,"1,186,795"
2016-01-01,"904,807"
2016-02-01,"926,044"
2016-03-01,"1,093,283"
2016-04-01,"1,150,243"
2016-05-01,"1,478,142"
2016-06-01,"1,904,936"
2016-07-01,"2,627,533"
2016-08-01,"2,297,870"
2016-09-01,"1,632,221"
2016-10-01,"1,303,648"
2016-11-01,"1,059,558"
2016-12-01,"1,203,973"
2017-01-01,"893,109"
2017-02-01,"898,333"
2017-03-01,"999,913"
2017-04-01,"1,214,537"
2017-05-01,"1,442,417"
2017-06-01,"1,980,577"
2017-07-01,"2,606,074"
2017-08-01,"2,381,313"
2017-09-01,"1,663,586"
2017-10-01,"1,300,204"
2017-11-01,"1,060,011"
2017-12-01,"1,215,214"
2018-01-01,"857,092"
2018-02-01,"889,718"
2018-03-01,"1,127,271"
2018-04-01,"1,070,433"
2018-05-01,"1,467,447"
2018-06-01,"2,098,785"
2018-07-01,"2,594,853"
2018-08-01,"2,525,958"
2018-09-01,"1,609,931"
2018-10-01,"1,291,330"
2018-11-01,"1,083,634"
2018-12-01,"1,282,920"
2019-01-01,"858,662"
2019-02-01,"859,511"
2019-03-01,"1,089,374"
2019-04-01,"1,178,578"
2019-05-01,"1,529,589"
2019-06-01,"2,092,327"
2019-07-01,"2,640,986"
2019-08-01,"2,652,451"
2019-09-01,"1,550,516"
2019-10-01,"1,326,872"
2019-11-01,"1,123,266"
2019-12-01,"1,284,817"
2020-01-01,"918,575"
2020-02-01,"986,589"
2020-03-01,"471,980"
2020-04-01,"48,197"
2020-05-01,"68,280"
2020-06-01,"93,220"
2020-07-01,"102,027"
2020-08-01,"106,490"
2020-09-01,"100,402"
2020-10-01,"99,451"
2020-11-01,"84,283"
